,pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,Grade
0,6.6,35,1,0,1,0,254,0
1,6.6,36,0,1,0,1,253,0
2,8.5,70,1,1,1,1,246,1
3,9.5,34,1,1,0,1,255,1
4,6.6,37,0,0,0,0,255,2
5,6.6,37,1,1,1,1,255,0
6,5.5,45,1,0,1,1,250,1
7,4.5,60,0,1,1,1,250,1
8,8.1,66,1,0,1,1,255,1
9,6.7,45,1,1,0,0,247,2
10,6.7,45,1,1,1,0,245,2
11,5.6,50,0,1,1,1,255,1
12,8.6,55,0,1,1,1,255,1
13,7.4,90,1,0,1,1,255,1
14,6.8,45,0,1,1,1,255,0
15,6.5,38,1,0,0,0,255,2
16,4.7,38,1,0,1,0,255,1
17,3,40,1,1,1,1,255,1
18,9,43,1,0,1,1,250,1
19,6.8,40,1,0,1,0,245,2
20,6.6,45,0,1,1,1,250,0
21,6.5,36,0,0,1,0,255,2
22,4.5,38,0,1,1,1,255,1
23,6.6,45,1,1,1,1,245,0
24,6.8,35,1,0,1,0,246,2
25,6.5,36,0,1,1,0,253,0
26,8.5,70,0,0,0,0,246,1
27,6.6,34,0,0,0,1,240,2
28,6.5,37,0,0,0,0,245,2
29,6.6,37,1,0,1,0,255,0
30,6.4,45,0,1,0,0,240,2
31,6.5,40,0,1,0,1,250,1
32,6.8,42,1,1,1,1,255,0
33,6.7,41,1,0,0,0,247,2
34,6.7,50,1,1,1,0,245,1
35,6.8,45,0,1,1,1,255,0
36,8.6,55,0,1,0,0,255,1
37,7.4,65,0,0,0,0,255,1
38,6.8,41,0,0,0,0,255,2
39,6.5,38,1,1,1,1,255,0
40,6.8,38,0,0,0,0,255,2
41,3,40,1,0,0,0,255,1
42,9,43,1,1,1,1,248,1
43,6.8,40,1,1,1,1,255,0
44,6.6,45,0,0,0,1,250,2
45,6.5,36,0,0,0,0,247,2
46,6.6,38,0,0,0,0,255,2
47,6.8,45,1,1,1,0,245,0
48,9.5,34,1,1,0,1,255,1
49,6.5,37,0,0,0,0,255,2
50,6.6,37,1,1,1,1,255,0
51,5.5,45,1,0,1,1,250,1
52,4.5,60,0,1,1,1,250,1
53,8.1,66,1,0,1,1,255,1
54,6.7,45,1,1,0,0,247,2
55,6.7,45,1,1,1,0,245,2
56,5.6,50,0,1,1,1,255,1
57,8.6,55,0,1,1,1,255,1
58,7.4,90,1,0,1,1,255,1
59,6.8,45,0,0,1,0,255,2
60,6.5,38,1,0,1,0,255,2
61,6.7,38,1,0,1,0,255,0
62,3,40,1,1,1,1,255,1
63,9,43,1,0,1,1,250,1
64,8.6,55,0,1,1,1,255,1
65,6.8,45,0,0,0,1,255,2
66,6.8,45,0,1,1,1,255,0
67,6.5,38,1,0,0,0,255,2
68,4.7,38,1,0,1,0,255,1
69,3,40,1,1,1,1,255,1
70,9,43,1,0,1,1,250,1
71,6.8,40,1,0,1,0,245,2
72,6.6,45,0,1,1,1,250,0
73,6.5,36,0,0,1,0,255,2
74,4.5,38,0,1,1,1,255,1
75,6.8,45,1,1,1,1,245,0
76,6.5,35,1,0,1,0,246,2
77,6.8,36,0,1,1,0,253,0
78,8.5,70,0,0,0,0,246,1
79,6.8,34,0,0,0,1,240,2
80,6.5,37,0,0,0,0,245,2
81,6.6,37,1,0,1,0,255,0
82,6.8,45,0,1,0,0,240,2
83,7.4,65,0,0,0,0,255,1
84,6.8,41,0,0,1,0,255,2
85,6.5,38,1,1,1,1,255,0
86,6.6,38,0,0,0,0,255,2
87,3,40,1,0,0,0,255,1
88,9,43,1,1,1,1,248,1
89,6.8,40,1,1,1,1,255,0
90,6.6,50,0,0,0,1,250,1
91,6.5,36,0,0,0,0,247,2
92,6.6,50,0,0,0,0,255,1
93,6.8,45,1,1,1,0,245,0
94,9.5,34,1,1,0,1,255,1
95,6.5,37,0,0,0,0,255,2
96,9.5,34,1,1,0,1,255,1
97,6.5,37,0,0,0,0,255,2
98,6.6,37,1,1,1,1,255,0
99,5.5,45,1,0,1,1,250,1
100,4.5,60,0,1,1,1,250,1
101,8.1,66,1,0,1,1,255,1
102,6.7,45,1,1,0,0,247,2
103,6.7,45,1,1,1,0,245,2
104,5.6,50,0,1,1,1,255,1
105,6.6,35,0,1,1,1,255,0
106,7.4,90,1,0,1,1,255,1
107,6.8,50,0,0,1,0,255,1
108,6.5,38,1,0,1,0,255,2
109,6.7,38,1,0,1,0,255,0
110,3,40,1,1,1,1,255,1
111,6.6,43,1,0,1,1,250,0
112,8.6,55,0,1,1,1,255,1
113,6.8,45,0,0,0,1,255,2
114,6.8,45,0,1,1,1,255,0
115,6.5,38,1,0,0,0,255,2
116,6.6,38,1,0,1,0,255,0
117,3,40,1,1,1,1,255,1
118,9,43,1,0,1,1,250,1
119,6.8,40,1,0,1,0,245,2
120,6.6,45,0,0,0,1,250,2
121,6.5,36,0,0,1,0,255,2
122,6.6,38,0,0,1,0,255,2
123,6.8,45,1,1,1,1,245,0
124,6.5,55,1,0,1,0,246,1
125,6.8,36,0,1,1,0,253,0
126,8.5,70,0,0,0,0,246,1
127,6.8,40,1,0,1,0,245,2
128,6.6,45,0,1,1,1,250,0
129,6.5,36,0,0,1,0,255,2
130,4.5,38,0,1,1,1,255,1
131,6.8,45,1,1,1,1,245,0
132,6.5,35,1,0,1,0,246,2
133,6.8,36,0,1,1,0,253,0
134,8.5,70,0,0,0,0,246,1
135,6.8,34,0,0,0,1,240,2
136,6.5,37,0,0,0,0,245,2
137,6.6,37,1,0,1,0,255,0
138,6.8,45,0,1,0,0,240,2
139,7.4,65,0,0,0,0,255,1
140,6.8,41,0,0,1,0,255,2
141,6.5,38,1,1,1,1,255,0
142,6.6,38,0,0,0,0,255,2
143,3,40,1,0,0,0,255,1
144,9,43,1,1,1,1,248,1
145,6.8,40,1,1,1,1,255,0
146,6.6,50,0,0,0,1,250,1
147,6.5,36,0,0,0,0,247,2
148,6.6,50,0,0,0,0,255,1
149,6.8,45,1,1,1,0,245,0
150,9.5,34,1,1,0,1,255,1
151,6.5,37,0,0,0,0,255,2
152,9.5,34,1,1,0,1,255,1
153,6.5,37,0,0,0,0,255,2
154,6.6,37,1,1,1,1,255,0
155,5.5,45,1,0,1,1,250,1
156,4.5,60,0,1,1,1,250,1
157,8.1,66,1,0,1,1,255,1
158,6.7,45,1,1,0,0,247,2
159,6.7,45,1,1,1,0,245,2
160,5.6,50,0,1,1,1,255,1
161,6.6,35,0,1,1,1,255,0
162,7.4,90,1,0,1,1,255,1
163,6.8,50,0,0,1,0,255,1
164,6.5,38,1,0,1,0,255,2
165,6.7,41,1,0,0,0,247,2
166,6.7,50,1,1,1,0,245,1
167,6.8,45,0,1,1,1,255,0
168,8.6,55,0,1,0,0,255,1
169,7.4,65,0,0,0,0,255,1
170,6.8,41,0,0,0,0,255,2
171,6.5,38,1,1,1,1,255,0
172,6.8,38,0,0,0,0,255,2
173,3,40,1,0,0,0,255,1
174,9,43,1,1,1,1,248,1
175,6.8,40,1,1,1,1,255,0
176,6.6,45,0,0,0,1,250,2
177,6.5,36,0,0,0,0,247,2
178,6.6,38,0,0,0,0,255,2
179,6.8,45,1,1,1,0,245,0
180,9.5,34,1,1,0,1,255,1
181,6.5,37,0,0,0,0,255,2
182,6.6,37,1,1,1,1,255,0
183,5.5,45,1,0,1,1,250,1
184,4.5,60,0,1,1,1,250,1
185,8.1,66,1,0,1,1,255,1
186,6.7,45,1,1,0,0,247,2
187,6.7,45,1,1,1,0,245,2
188,5.6,50,0,1,1,1,255,1
189,8.6,55,0,1,1,1,255,1
190,7.4,90,1,0,1,1,255,1
191,6.8,45,0,0,1,0,255,2
192,6.5,38,1,0,1,0,255,2
193,6.7,38,1,0,1,0,255,0
194,3,40,1,1,1,1,255,1
195,9,43,1,0,1,1,250,1
196,8.6,55,0,1,1,1,255,1
197,6.8,45,0,0,0,1,255,2
198,6.8,45,0,1,1,1,255,0
199,6.5,38,1,0,0,0,255,2
200,4.7,38,1,0,1,0,255,1
201,3,40,1,1,1,1,255,1
202,9,43,1,0,1,1,250,1
203,6.8,40,1,0,1,0,245,2
204,6.5,37,0,0,0,0,255,2
205,6.6,37,1,1,1,1,255,0
206,5.5,45,1,0,1,1,250,1
207,4.5,60,0,1,1,1,250,1
208,8.1,66,1,0,1,1,255,1
209,6.7,45,1,1,0,0,247,2
210,6.7,45,1,1,1,0,245,2
211,5.6,50,0,1,1,1,255,1
212,8.6,55,0,1,1,1,255,1
213,7.4,90,1,0,1,1,255,1
214,6.8,45,0,0,1,0,255,2
215,6.5,38,1,0,1,0,255,2
216,6.7,38,1,0,1,0,255,0
217,3,40,1,1,1,1,255,1
218,9,43,1,0,1,1,250,1
219,8.6,55,0,1,1,1,255,1
220,6.8,45,0,0,0,1,255,2
221,6.8,45,0,1,1,1,255,0
222,6.5,38,1,0,0,0,255,2
223,4.7,38,1,0,1,0,255,1
224,3,40,1,1,1,1,255,1
225,9,43,1,0,1,1,250,1
226,6.8,40,1,0,1,0,245,2
227,6.6,45,0,1,1,1,250,0
228,6.5,36,0,0,1,0,255,2
229,4.5,38,0,1,1,1,255,1
230,6.8,45,1,1,1,1,245,0
231,6.5,35,1,0,1,0,246,2
232,6.8,36,0,1,1,0,253,0
233,8.5,70,0,0,0,0,246,1
234,6.8,34,0,0,0,1,240,2
235,6.5,37,0,0,0,0,245,2
236,6.6,37,1,0,1,0,255,0
237,6.8,45,0,1,0,0,240,2
238,7.4,65,0,0,0,0,255,1
239,6.8,41,0,0,1,0,255,2
240,6.5,38,1,1,1,1,255,0
241,6.6,38,0,0,0,0,255,2
242,3,40,1,0,0,0,255,1
243,9,43,1,1,1,1,248,1
244,6.5,38,1,0,1,0,255,2
245,6.7,38,1,0,1,0,255,0
246,3,40,1,1,1,1,255,1
247,6.6,43,1,0,1,1,250,0
248,8.6,55,0,1,1,1,255,1
249,6.8,45,0,0,0,1,255,2
250,6.8,45,0,1,1,1,255,0
251,6.5,38,1,0,0,0,255,2
252,6.6,38,1,0,1,0,255,0
253,3,40,1,1,1,1,255,1
254,9,43,1,0,1,1,250,1
255,6.8,40,1,0,1,0,245,2
256,6.6,45,0,0,0,1,250,2
257,6.5,36,0,0,1,0,255,2
258,6.6,38,0,0,1,0,255,2
259,6.8,45,1,1,1,1,245,0
260,6.5,55,1,0,1,0,246,1
261,6.8,36,0,1,1,0,253,0
262,8.5,70,0,0,0,0,246,1
263,6.8,40,1,0,1,0,245,2
264,6.6,45,0,1,1,1,250,0
265,6.5,36,0,0,1,0,255,2
266,4.5,38,0,1,1,1,255,1
267,6.8,45,1,1,1,1,245,0
268,6.5,35,1,0,1,0,246,2
269,6.8,36,0,1,1,0,253,0
270,8.5,70,0,0,0,0,246,1
271,6.8,34,0,0,0,1,240,2
272,9,43,1,1,1,1,248,1
273,6.8,40,1,1,1,1,255,0
274,6.6,50,0,0,0,1,250,1
275,6.5,36,0,0,0,0,247,2
276,6.6,50,0,0,0,0,255,1
277,6.8,45,1,1,1,0,245,0
278,9.5,34,1,1,0,1,255,1
279,6.5,37,0,0,0,0,255,2
280,9.5,34,1,1,0,1,255,1
281,6.5,37,0,0,0,0,255,2
282,6.6,37,1,1,1,1,255,0
283,5.5,45,1,0,1,1,250,1
284,4.5,60,0,1,1,1,250,1
285,8.1,66,1,0,1,1,255,1
286,6.7,45,1,1,0,0,247,2
287,6.7,45,1,1,1,0,245,2
288,5.6,50,0,1,1,1,255,1
289,6.6,35,0,1,1,1,255,0
290,7.4,90,1,0,1,1,255,1
291,6.8,50,0,0,1,0,255,1
292,6.5,38,1,0,1,0,255,2
293,6.7,41,1,0,0,0,247,2
294,6.7,50,1,1,1,0,245,1
295,6.8,45,0,1,1,1,255,0
296,8.6,55,0,1,0,0,255,1
297,7.4,65,0,0,0,0,255,1
298,6.8,41,0,0,0,0,255,2
299,6.5,38,1,1,1,1,255,0
300,6.8,38,0,0,0,0,255,2
301,3,40,1,0,0,0,255,1
302,9,43,1,1,1,1,248,1
303,6.8,40,1,1,1,1,255,0
304,6.6,45,0,0,0,1,250,2
305,6.5,36,0,0,0,0,247,2
306,6.6,38,0,0,0,0,255,2
307,6.8,45,1,1,1,0,245,0
308,9.5,34,1,1,0,1,255,1
309,6.5,37,0,0,0,0,255,2
310,6.6,37,1,1,1,1,255,0
311,5.5,45,1,0,1,1,250,1
312,4.5,60,0,1,1,1,250,1
313,8.1,66,1,0,1,1,255,1
314,6.7,45,1,1,0,0,247,2
315,6.7,45,1,1,1,0,245,2
316,5.6,50,0,1,1,1,255,1
317,8.6,55,0,1,1,1,255,1
318,7.4,90,1,0,1,1,255,1
319,6.8,45,0,0,1,0,255,2
320,6.5,38,1,0,1,0,255,2
321,6.7,38,1,0,1,0,255,0
322,3,40,1,1,1,1,255,1
323,9,43,1,0,1,1,250,1
324,8.6,55,0,1,1,1,255,1
325,6.8,45,0,0,0,1,255,2
326,6.8,45,0,1,1,1,255,0
327,6.5,38,1,0,0,0,255,2
328,4.7,38,1,0,1,0,255,1
329,3,40,1,1,1,1,255,1
330,9,43,1,0,1,1,250,1
331,6.8,40,1,0,1,0,245,2
332,6.5,37,0,0,0,0,255,2
333,6.6,37,1,1,1,1,255,0
334,5.5,45,1,0,1,1,250,1
335,4.5,60,0,1,1,1,250,1
336,8.1,66,1,0,1,1,255,1
337,6.7,45,1,1,0,0,247,2
338,6.7,45,1,1,1,0,245,2
339,5.6,50,0,1,1,1,255,1
340,8.6,55,0,1,1,1,255,1
341,7.4,90,1,0,1,1,255,1
342,6.8,45,0,0,1,0,255,2
343,6.5,38,1,0,1,0,255,2
344,6.7,38,1,0,1,0,255,0
345,3,40,1,1,1,1,255,1
346,9,43,1,0,1,1,250,1
347,8.6,55,0,1,1,1,255,1
348,6.8,45,0,0,0,1,255,2
349,6.8,45,0,1,1,1,255,0
350,6.5,38,1,0,0,0,255,2
351,4.7,38,1,0,1,0,255,1
352,3,40,1,1,1,1,255,1
353,9,43,1,0,1,1,250,1
354,6.8,40,1,0,1,0,245,2
355,6.6,45,0,1,1,1,250,0
356,6.5,36,0,0,1,0,255,2
357,4.5,38,0,1,1,1,255,1
358,6.8,45,1,1,1,1,245,0
359,6.5,35,1,0,1,0,246,2
360,6.8,36,0,1,1,0,253,0
361,8.5,70,0,0,0,0,246,1
362,6.8,34,0,0,0,1,240,2
363,6.5,37,0,0,0,0,245,2
364,6.6,37,1,0,1,0,255,0
365,6.8,45,0,1,0,0,240,2
366,7.4,65,0,0,0,0,255,1
367,6.8,41,0,0,1,0,255,2
368,6.5,38,1,1,1,1,255,0
369,6.6,38,0,0,0,0,255,2
370,3,40,1,0,0,0,255,1
371,9,43,1,1,1,1,248,1
372,6.5,38,1,0,1,0,255,2
373,6.7,38,1,0,1,0,255,0
374,3,40,1,1,1,1,255,1
375,6.6,43,1,0,1,1,250,0
376,8.6,55,0,1,1,1,255,1
377,6.8,45,0,0,0,1,255,2
378,6.8,45,0,1,1,1,255,0
379,6.5,38,1,0,0,0,255,2
380,6.6,38,1,0,1,0,255,0
381,3,40,1,1,1,1,255,1
382,9,43,1,0,1,1,250,1
383,6.8,40,1,0,1,0,245,2
384,6.6,45,0,0,0,1,250,2
385,6.5,36,0,0,1,0,255,2
386,6.8,45,0,1,1,1,255,0
387,6.5,38,1,0,0,0,255,2
388,4.7,38,1,0,1,0,255,1
389,3,40,1,1,1,1,255,1
390,9,43,1,0,1,1,250,1
391,6.8,40,1,0,1,0,245,2
392,6.6,45,0,1,1,1,250,0
393,6.5,36,0,0,1,0,255,2
394,4.5,38,0,1,1,1,255,1
395,6.8,45,1,1,1,1,245,0
396,6.5,35,1,0,1,0,246,2
397,6.8,36,0,1,1,0,253,0
398,8.5,70,0,0,0,0,246,1
399,6.8,34,0,0,0,1,240,2
400,6.5,37,0,0,0,0,245,2
401,6.6,37,1,0,1,0,255,0
402,6.8,45,0,1,0,0,240,2
403,7.4,65,0,0,0,0,255,1
404,6.8,41,0,0,1,0,255,2
405,6.5,38,1,1,1,1,255,0
406,6.6,38,0,0,0,0,255,2
407,3,40,1,0,0,0,255,1
408,9,43,1,1,1,1,248,1
409,6.8,40,1,1,1,1,255,0
410,6.6,50,0,0,0,1,250,1
411,6.5,36,0,0,0,0,247,2
412,6.6,50,0,0,0,0,255,1
413,6.8,45,1,1,1,0,245,0
414,9.5,34,1,1,0,1,255,1
415,6.5,37,0,0,0,0,255,2
416,9.5,34,1,1,0,1,255,1
417,6.5,37,0,0,0,0,255,2
418,6.6,37,1,1,1,1,255,0
419,5.5,45,1,0,1,1,250,1
420,4.5,60,0,1,1,1,250,1
421,8.1,66,1,0,1,1,255,1
422,6.7,45,1,1,0,0,247,2
423,6.7,45,1,1,1,0,245,2
424,5.6,50,0,1,1,1,255,1
425,6.6,35,0,1,1,1,255,0
426,7.4,90,1,0,1,1,255,1
427,6.8,50,0,0,1,0,255,1
428,6.5,38,1,0,1,0,255,2
429,6.7,38,1,0,1,0,255,0
430,3,40,1,1,1,1,255,1
431,6.6,43,1,0,1,1,250,0
432,8.6,55,0,1,1,1,255,1
433,6.8,45,0,0,0,1,255,2
434,6.8,45,0,1,1,1,255,0
435,6.5,38,1,0,0,0,255,2
436,6.6,38,1,0,1,0,255,0
437,3,40,1,1,1,1,255,1
438,9,43,1,0,1,1,250,1
439,6.8,40,1,0,1,0,245,2
440,6.6,45,0,0,0,1,250,2
441,6.5,36,0,0,1,0,255,2
442,6.6,38,0,0,1,0,255,2
443,6.8,45,1,1,1,1,245,0
444,6.5,55,1,0,1,0,246,1
445,6.8,36,0,1,1,0,253,0
446,8.5,70,0,0,0,0,246,1
447,6.8,40,1,0,1,0,245,2
448,6.6,45,0,1,1,1,250,0
449,6.5,36,0,0,1,0,255,2
450,4.5,38,0,1,1,1,255,1
451,6.8,45,1,1,1,1,245,0
452,6.5,35,1,0,1,0,246,2
453,6.8,36,0,1,1,0,253,0
454,8.5,70,0,0,0,0,246,1
455,6.6,50,0,0,0,0,255,1
456,6.8,45,1,1,1,0,245,0
457,9.5,34,1,1,0,1,255,1
458,6.5,37,0,0,0,0,255,2
459,9.5,34,1,1,0,1,255,1
460,6.5,37,0,0,0,0,255,2
461,6.6,37,1,1,1,1,255,0
462,5.5,45,1,0,1,1,250,1
463,4.5,60,0,1,1,1,250,1
464,8.1,66,1,0,1,1,255,1
465,6.7,45,1,1,0,0,247,2
466,6.7,45,1,1,1,0,245,2
467,5.6,50,0,1,1,1,255,1
468,6.6,35,0,1,1,1,255,0
469,7.4,90,1,0,1,1,255,1
470,6.8,50,0,0,1,0,255,1
471,6.5,38,1,0,1,0,255,2
472,6.7,38,1,0,1,0,255,0
473,3,40,1,1,1,1,255,1
474,6.6,43,1,0,1,1,250,0
475,8.6,55,0,1,1,1,255,1
476,6.8,45,0,0,0,1,255,2
477,6.8,45,0,1,1,1,255,0
478,6.5,38,1,0,0,0,255,2
479,6.6,38,1,0,1,0,255,0
480,3,40,1,1,1,1,255,1
481,9,43,1,0,1,1,250,1
482,6.8,40,1,0,1,0,245,2
483,6.6,45,0,0,0,1,250,2
484,6.5,36,0,0,1,0,255,2
485,6.6,38,0,0,1,0,255,2
486,6.8,45,1,1,1,1,245,0
487,6.5,55,1,0,1,0,246,1
488,6.8,36,0,1,1,0,253,0
489,8.5,70,0,0,0,0,246,1
490,6.8,40,1,0,1,0,245,2
491,6.6,45,0,1,1,1,250,0
492,6.5,36,0,0,1,0,255,2
493,4.5,38,0,1,1,1,255,1
494,6.8,45,1,1,1,1,245,0
495,6.5,35,1,0,1,0,246,2
496,6.8,36,0,1,1,0,253,0
497,8.5,70,0,0,0,0,246,1
498,6.8,34,0,0,0,1,240,2
499,6.5,37,0,0,0,0,245,2
500,6.6,37,1,0,1,0,255,0
501,6.8,45,0,1,0,0,240,2
502,7.4,65,0,0,0,0,255,1
503,6.8,41,0,0,1,0,255,2
504,6.5,38,1,1,1,1,255,0
505,6.6,38,0,0,0,0,255,2
506,3,40,1,0,0,0,255,1
507,9,43,1,1,1,1,248,1
508,6.8,40,1,1,1,1,255,0
509,6.6,50,0,0,0,1,250,1
510,6.5,36,0,0,0,0,247,2
511,6.6,50,0,0,0,0,255,1
512,6.8,45,1,1,1,0,245,0
513,9.5,34,1,1,0,1,255,1
514,6.5,37,0,0,0,0,255,2
515,9.5,34,1,1,0,1,255,1
516,6.5,37,0,0,0,0,255,2
517,6.6,37,1,1,1,1,255,0
518,5.5,45,1,0,1,1,250,1
519,4.5,60,0,1,1,1,250,1
520,8.1,66,1,0,1,1,255,1
521,6.7,45,1,1,0,0,247,2
522,6.7,45,1,1,1,0,245,2
523,5.6,50,0,1,1,1,255,1
524,6.6,35,0,1,1,1,255,0
525,7.4,90,1,0,1,1,255,1
526,6.8,50,0,0,1,0,255,1
527,6.5,38,1,0,1,0,255,2
528,6.7,41,1,0,0,0,247,2
529,6.7,50,1,1,1,0,245,1
530,6.8,45,0,1,1,1,255,0
