,pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,Grade
531,6.6,45,0,1,0,0,255,2
532,7.4,65,0,0,0,0,255,1
533,6.8,41,0,0,0,0,255,2
534,6.5,38,1,1,1,1,255,0
535,6.8,38,0,0,0,0,255,2
536,3,40,1,0,0,0,255,1
537,9,43,1,1,1,1,248,1
538,6.8,40,1,1,1,1,255,0
539,6.6,50,0,0,0,1,250,1
540,6.5,36,0,0,0,0,247,2
541,6.6,38,0,0,0,0,255,2
542,6.8,45,1,1,1,0,245,0
543,9.5,34,1,1,0,1,255,1
544,6.5,37,0,0,0,0,255,2
545,6.6,37,1,1,1,1,255,0
546,5.5,45,1,0,1,1,250,1
547,6.5,40,1,0,0,0,250,2
548,8.1,66,1,0,1,1,255,1
549,6.7,45,1,1,0,0,247,2
550,6.7,38,1,0,1,0,255,0
551,3,40,1,1,1,1,255,1
552,6.8,43,1,0,1,0,250,0
553,8.6,55,0,1,1,1,255,1
554,6.8,55,0,0,0,1,255,1
555,6.8,45,0,1,1,1,255,0
556,6.5,38,1,0,0,0,255,2
557,4.7,38,1,0,1,0,255,1
558,3,40,1,1,1,1,255,1
559,9,43,1,0,1,1,250,1
560,6.8,40,1,0,1,0,245,2
561,6.6,45,0,1,1,1,250,0
562,6.5,36,0,0,1,0,255,2
563,4.5,38,0,1,1,1,255,1
564,6.8,45,1,1,1,1,245,0
565,6.5,50,1,0,1,0,246,1
566,6.8,36,0,1,1,0,253,0
567,8.5,70,0,0,0,0,246,1
568,6.8,34,0,0,0,1,240,2
569,6.5,37,0,0,0,0,245,2
570,6.6,37,1,0,1,0,255,0
571,6.8,45,0,1,0,0,240,2
572,7.4,65,0,0,0,0,255,1
573,6.8,41,0,0,1,0,255,2
574,6.5,38,1,1,1,1,255,0
575,6.6,38,0,0,0,0,255,2
576,6.6,40,1,0,1,1,255,0
577,9,43,1,1,1,1,248,1
578,6.5,38,1,0,1,0,255,2
579,6.7,38,1,0,1,0,255,0
580,3,40,1,1,1,1,255,1
581,6.6,43,1,0,1,1,250,0
582,6.8,41,0,0,1,0,255,2
583,6.5,38,1,1,1,1,255,0
584,6.6,38,0,0,0,0,255,2
585,3,40,1,0,0,0,255,1
586,9,43,1,1,1,1,248,1
587,6.8,40,1,1,1,1,255,0
588,6.6,50,0,0,0,1,250,1
589,6.5,36,0,0,0,0,247,2
590,6.6,50,0,0,0,0,255,1
591,6.8,45,1,1,1,0,245,0
592,9.5,34,1,1,0,1,255,1
593,6.5,37,0,0,0,0,255,2
594,9.5,34,1,1,0,1,255,1
595,6.5,37,0,0,0,0,255,2
596,6.6,37,1,1,1,1,255,0
597,5.5,45,1,0,1,1,250,1
598,4.5,60,0,1,1,1,250,1
599,8.1,66,1,0,1,1,255,1
600,6.7,45,1,1,0,0,247,2
601,6.7,45,1,1,1,0,245,2
602,5.6,50,0,1,1,1,255,1
603,6.6,35,0,1,1,1,255,0
604,7.4,90,1,0,1,1,255,1
605,6.8,50,0,0,1,0,255,1
606,6.5,38,1,0,1,0,255,2
607,6.7,41,1,0,0,0,247,2
608,6.7,50,1,1,1,0,245,1
609,6.8,45,0,1,1,1,255,0
610,6.6,45,0,1,0,0,255,2
611,7.4,65,0,0,0,0,255,1
612,6.8,41,0,0,0,0,255,2
613,6.5,38,1,1,1,1,255,0
614,6.8,38,0,0,0,0,255,2
615,3,40,1,0,0,0,255,1
616,9,43,1,1,1,1,248,1
617,6.8,40,1,1,1,1,255,0
618,6.6,50,0,0,0,1,250,1
619,6.5,36,0,0,0,0,247,2
620,6.6,38,0,0,0,0,255,2
621,6.8,45,1,1,1,0,245,0
622,9.5,34,1,1,0,1,255,1
623,6.5,37,0,0,0,0,255,2
624,6.6,37,1,1,1,1,255,0
625,5.5,45,1,0,1,1,250,1
626,6.5,40,1,0,0,0,250,2
627,8.1,66,1,0,1,1,255,1
628,6.7,45,1,1,0,0,247,2
629,6.7,38,1,0,1,0,255,0
630,3,40,1,1,1,1,255,1
631,6.8,43,1,0,1,0,250,0
632,8.6,55,0,1,1,1,255,1
633,6.8,55,0,0,0,1,255,1
634,6.8,45,0,1,1,1,255,0
635,6.5,38,1,0,0,0,255,2
636,4.7,38,1,0,1,0,255,1
637,3,40,1,1,1,1,255,1
638,9,43,1,0,1,1,250,1
639,6.8,40,1,0,1,0,245,2
640,6.6,45,0,1,1,1,250,0
641,6.5,36,0,0,1,0,255,2
642,4.5,38,0,1,1,1,255,1
643,6.8,45,1,1,1,1,245,0
644,6.5,50,1,0,1,0,246,1
645,6.8,36,0,1,1,0,253,0
646,8.5,70,0,0,0,0,246,1
647,6.8,34,0,0,0,1,240,2
648,6.5,37,0,0,0,0,245,2
649,6.6,37,1,0,1,0,255,0
650,6.8,45,0,1,0,0,240,2
651,7.4,65,0,0,0,0,255,1
652,6.8,41,0,0,1,0,255,2
653,6.5,38,1,1,1,1,255,0
654,6.6,38,0,0,0,0,255,2
655,6.7,38,1,0,1,0,255,0
656,3,40,1,1,1,1,255,1
657,9,43,1,0,1,1,250,1
658,8.6,55,0,1,1,1,255,1
659,6.8,45,0,0,0,1,255,2
660,6.8,45,0,1,1,1,255,0
661,6.5,38,1,0,0,0,255,2
662,4.7,38,1,0,1,0,255,1
663,3,40,1,1,1,1,255,1
664,9,43,1,0,1,1,250,1
665,6.8,40,1,0,1,0,245,2
666,6.5,37,0,0,0,0,255,2
667,6.6,37,1,1,1,1,255,0
668,5.5,45,1,0,1,1,250,1
669,4.5,60,0,1,1,1,250,1
670,8.1,66,1,0,1,1,255,1
671,6.7,45,1,1,0,0,247,2
672,6.7,45,1,1,1,0,245,2
673,5.6,50,0,1,1,1,255,1
674,8.6,55,0,1,1,1,255,1
675,7.4,90,1,0,1,1,255,1
676,6.8,45,0,0,1,0,255,2
677,6.5,38,1,0,1,0,255,2
678,6.7,38,1,0,1,0,255,0
679,3,40,1,1,1,1,255,1
680,9,43,1,0,1,1,250,1
681,8.6,55,0,1,1,1,255,1
682,6.8,45,0,0,0,1,255,2
683,6.8,45,0,1,1,1,255,0
684,6.5,38,1,0,0,0,255,2
685,4.7,38,1,0,1,0,255,1
686,3,40,1,1,1,1,255,1
687,9,43,1,0,1,1,250,1
688,6.8,40,1,0,1,0,245,2
689,6.6,45,0,1,1,1,250,0
690,6.5,36,0,0,1,0,255,2
691,4.5,38,0,1,1,1,255,1
692,6.8,45,1,1,1,1,245,0
693,6.5,35,1,0,1,0,246,2
694,6.8,36,0,1,1,0,253,0
695,8.5,70,0,0,0,0,246,1
696,6.8,34,0,0,0,1,240,2
697,6.5,37,0,0,0,0,245,2
698,6.6,37,1,0,1,0,255,0
699,6.8,45,0,1,0,0,240,2
700,7.4,65,0,0,0,0,255,1
701,6.8,41,0,0,1,0,255,2
702,6.5,38,1,1,1,1,255,0
703,6.6,38,0,0,0,0,255,2
704,3,40,1,0,0,0,255,1
705,9,43,1,1,1,1,248,1
706,6.5,38,1,0,1,0,255,2
707,6.7,38,1,0,1,0,255,0
708,3,40,1,1,1,1,255,1
709,6.6,43,1,0,1,1,250,0
710,8.6,55,0,1,1,1,255,1
711,6.8,45,0,0,0,1,255,2
712,6.8,45,0,1,1,1,255,0
713,6.5,38,1,0,0,0,255,2
714,6.6,38,1,0,1,0,255,0
715,3,40,1,1,1,1,255,1
716,9,43,1,0,1,1,250,1
717,6.8,40,1,0,1,0,245,2
718,6.6,45,0,0,0,1,250,2
719,6.5,36,0,0,1,0,255,2
720,6.8,45,0,1,1,1,255,0
721,6.5,38,1,0,0,0,255,2
722,4.7,38,1,0,1,0,255,1
723,3,40,1,1,1,1,255,1
724,9,43,1,0,1,1,250,1
725,6.8,40,1,0,1,0,245,2
726,6.6,45,0,1,1,1,250,0
727,6.5,36,0,0,1,0,255,2
728,4.5,38,0,1,1,1,255,1
729,6.8,45,1,1,1,1,245,0
730,5.5,45,1,0,1,1,250,1
731,4.5,60,0,1,1,1,250,1
732,8.1,66,1,0,1,1,255,1
733,6.7,45,1,1,0,0,247,2
734,6.7,45,1,1,1,0,245,2
735,5.6,50,0,1,1,1,255,1
736,6.6,35,0,1,1,1,255,0
737,7.4,90,1,0,1,1,255,1
738,6.8,50,0,0,1,0,255,1
739,6.5,38,1,0,1,0,255,2
740,6.7,41,1,0,0,0,247,2
741,6.7,50,1,1,1,0,245,1
742,6.8,45,0,1,1,1,255,0
743,8.6,55,0,1,0,0,255,1
744,7.4,65,0,0,0,0,255,1
745,6.8,41,0,0,0,0,255,2
746,6.5,38,1,1,1,1,255,0
747,6.8,38,0,0,0,0,255,2
748,3,40,1,0,0,0,255,1
749,9,43,1,1,1,1,248,1
750,6.8,40,1,1,1,1,255,0
751,6.6,45,0,0,0,1,250,2
752,6.5,36,0,0,0,0,247,2
753,6.6,38,0,0,0,0,255,2
754,6.8,45,1,1,1,0,245,0
755,9.5,34,1,1,0,1,255,1
756,6.5,37,0,0,0,0,255,2
757,6.6,37,1,1,1,1,255,0
758,5.5,45,1,0,1,1,250,1
759,4.5,60,0,1,1,1,250,1
760,8.1,66,1,0,1,1,255,1
761,6.7,45,1,1,0,0,247,2
762,6.7,45,1,1,1,0,245,2
763,5.6,50,0,1,1,1,255,1
764,8.6,55,0,1,1,1,255,1
765,7.4,90,1,0,1,1,255,1
766,6.8,45,0,0,1,0,255,2
767,6.5,38,1,0,1,0,255,2
768,6.7,38,1,0,1,0,255,0
769,3,40,1,1,1,1,255,1
770,9,43,1,0,1,1,250,1
771,8.6,55,0,1,1,1,255,1
772,6.8,45,0,0,0,1,255,2
773,6.8,45,0,1,1,1,255,0
774,6.5,38,1,0,0,0,255,2
775,4.7,38,1,0,1,0,255,1
776,3,40,1,1,1,1,255,1
777,9,43,1,0,1,1,250,1
778,6.8,40,1,0,1,0,245,2
779,6.5,37,0,0,0,0,255,2
780,6.6,37,1,1,1,1,255,0
781,5.5,45,1,0,1,1,250,1
782,4.5,60,0,1,1,1,250,1
783,8.1,66,1,0,1,1,255,1
784,6.7,45,1,1,0,0,247,2
785,6.7,45,1,1,1,0,245,2
786,5.6,50,0,1,1,1,255,1
787,8.6,55,0,1,1,1,255,1
788,7.4,90,1,0,1,1,255,1
789,6.8,45,0,0,1,0,255,2
790,6.5,38,1,0,1,0,255,2
791,6.7,38,1,0,1,0,255,0
792,3,40,1,1,1,1,255,1
793,9,43,1,0,1,1,250,1
794,8.6,55,0,1,1,1,255,1
795,6.8,45,0,0,0,1,255,2
796,6.8,45,0,1,1,1,255,0
797,6.5,38,1,0,0,0,255,2
798,4.7,38,1,0,1,0,255,1
799,3,40,1,1,1,1,255,1
800,9,43,1,0,1,1,250,1
801,6.8,40,1,0,1,0,245,2
802,6.6,45,0,1,1,1,250,0
803,6.5,36,0,0,1,0,255,2
804,4.5,38,0,1,1,1,255,1
805,6.8,45,1,1,1,1,245,0
806,6.5,35,1,0,1,0,246,2
807,6.8,36,0,1,1,0,253,0
808,8.5,70,0,0,0,0,246,1
809,6.8,34,0,0,0,1,240,2
810,6.5,37,0,0,0,0,245,2
811,6.6,37,1,0,1,0,255,0
812,6.8,45,0,1,0,0,240,2
813,7.4,65,0,0,0,0,255,1
814,6.8,41,0,0,1,0,255,2
815,6.5,38,1,1,1,1,255,0
816,6.6,38,0,0,0,0,255,2
817,3,40,1,0,0,0,255,1
818,9,43,1,1,1,1,248,1
819,6.5,38,1,0,1,0,255,2
820,6.7,38,1,0,1,0,255,0
821,6.6,40,0,0,0,0,255,2
822,6.6,43,1,0,1,1,250,0
823,8.6,55,0,1,1,1,255,1
824,6.8,45,0,0,0,1,255,2
825,6.8,45,0,1,1,1,255,0
826,6.5,38,1,0,0,0,255,2
827,6.6,38,1,0,1,0,255,0
828,3,40,1,1,1,1,255,1
829,9,43,1,0,1,1,250,1
830,6.8,40,1,0,1,0,245,2
831,6.6,45,0,1,1,1,250,0
832,6.5,36,0,0,1,0,255,2
833,6.8,45,0,1,1,1,255,0
834,6.5,38,1,0,0,0,255,2
835,4.7,38,1,0,1,0,255,1
836,3,40,1,1,1,1,255,1
837,9,43,1,0,1,1,250,1
838,6.8,40,1,0,1,0,245,2
839,6.6,45,0,1,1,1,250,0
840,6.5,36,0,0,1,0,255,2
841,4.5,38,0,1,1,1,255,1
842,6.8,45,1,1,1,1,245,0
843,6.5,35,1,0,1,0,246,2
844,6.8,36,0,1,1,0,253,0
845,8.5,70,0,0,0,0,246,1
846,6.8,34,0,0,0,1,240,2
847,6.5,37,0,1,1,1,245,1
848,6.6,37,1,0,1,0,255,0
849,6.8,45,0,1,0,0,240,2
850,7.4,65,0,0,0,0,255,1
851,6.8,41,0,0,1,0,255,2
852,6.5,38,1,1,1,1,255,0
853,6.6,38,0,0,0,0,255,2
854,3,40,1,0,0,0,255,1
855,9,43,1,1,1,1,248,1
856,6.8,40,1,1,1,1,255,0
857,6.6,50,0,0,0,1,250,1
858,6.5,36,0,0,0,0,247,2
859,6.6,50,0,0,0,0,255,1
860,6.8,45,1,1,1,0,245,0
861,6.6,40,1,0,0,0,255,2
862,9,43,1,1,1,1,248,1
863,6.8,40,1,1,1,1,255,0
864,6.6,50,0,0,0,1,250,1
865,6.5,36,0,0,0,0,247,2
866,6.6,38,0,0,0,0,255,2
867,6.8,45,1,1,1,0,245,0
868,9.5,34,1,1,0,1,255,1
869,6.5,37,0,0,0,0,255,2
870,6.6,37,1,1,1,1,255,0
871,5.5,45,1,0,1,1,250,1
872,6.5,40,1,0,0,0,250,2
873,8.1,66,1,0,1,1,255,1
874,6.7,45,1,1,0,0,247,2
875,6.7,38,1,0,1,0,255,0
876,3,40,1,1,1,1,255,1
877,6.8,43,1,0,1,0,250,0
878,8.6,55,0,1,1,1,255,1
879,6.8,55,0,0,0,1,255,1
880,6.8,45,0,1,1,1,255,0
881,6.5,38,1,0,0,0,255,2
882,4.7,38,1,0,1,0,255,1
883,6.6,40,1,1,1,1,255,0
884,9,43,1,0,1,1,250,1
885,6.8,40,1,0,1,0,245,2
886,6.6,45,0,1,1,1,250,0
887,6.5,36,0,0,1,0,255,2
888,4.5,38,0,1,1,1,255,1
889,6.8,45,1,1,1,1,245,0
890,6.5,50,1,0,1,0,246,1
891,6.6,37,1,0,1,0,255,0
892,6.8,45,0,1,0,0,240,2
893,7.4,65,0,0,0,0,255,1
894,6.8,41,0,0,1,0,255,2
895,6.5,38,1,1,1,1,255,0
896,6.6,38,0,0,0,0,255,2
897,6.7,38,1,0,1,0,255,0
898,3,40,1,1,1,1,255,1
899,6.6,43,0,0,1,0,250,2
900,8.6,55,0,1,1,1,255,1
901,6.8,45,0,0,0,1,255,2
902,6.8,45,0,1,1,1,255,0
903,6.5,38,1,0,0,0,255,2
904,4.7,38,1,0,1,0,255,1
905,3,40,1,1,1,1,255,1
906,9,43,1,0,1,1,250,1
907,6.8,40,1,0,1,0,245,2
908,6.5,37,0,0,0,0,255,2
909,6.6,37,1,1,1,1,255,0
910,5.5,45,1,0,1,1,250,1
911,6.5,40,0,0,1,0,250,2
912,8.1,66,1,0,1,1,255,1
913,6.7,45,1,1,0,0,247,2
914,6.7,45,1,1,1,0,245,2
915,5.6,50,0,1,1,1,255,1
916,8.6,55,0,1,1,1,255,1
917,6.7,41,1,0,0,0,247,2
918,6.7,50,1,1,1,0,245,1
919,6.8,45,0,1,1,1,255,0
920,8.6,55,0,1,0,0,255,1
921,7.4,65,0,0,0,0,255,1
922,6.8,41,0,0,0,0,255,2
923,6.5,38,1,1,1,1,255,0
924,6.8,38,0,0,0,0,255,2
925,3,40,1,0,0,0,255,1
926,9,43,1,1,1,1,248,1
927,6.8,40,1,1,1,1,255,0
928,6.6,45,0,0,0,1,250,2
929,6.5,36,0,0,0,0,247,2
930,6.6,38,0,1,1,1,255,0
931,6.8,45,1,1,1,0,245,0
932,9.5,34,1,1,0,1,255,1
933,6.5,37,0,0,0,0,255,2
934,6.6,37,1,1,1,1,255,0
935,5.5,45,1,0,1,1,250,1
936,4.5,60,0,1,1,1,250,1
937,8.1,66,1,0,1,1,255,1
938,6.7,45,1,1,0,0,247,2
939,6.7,45,1,1,1,0,245,2
940,5.6,50,0,1,1,1,255,1
941,8.6,55,0,1,1,1,255,1
942,6.6,45,1,0,0,1,255,2
943,9,43,1,0,1,1,250,1
944,6.8,40,1,0,1,0,245,2
945,6.6,45,0,1,1,1,250,0
946,6.5,36,0,0,1,0,255,2
947,4.5,38,0,1,1,1,255,1
948,6.8,45,1,1,1,1,245,0
949,6.5,35,1,0,1,0,246,2
950,6.8,36,0,1,1,0,253,0
951,8.5,70,0,0,0,0,246,1
952,6.8,34,0,0,0,1,240,2
953,6.5,37,0,0,0,0,245,2
954,6.6,37,1,0,1,0,255,0
955,6.8,45,0,1,0,0,240,2
956,7.4,65,0,0,0,0,255,1
957,6.8,41,1,1,1,0,255,0
958,6.5,38,1,1,1,1,255,0
959,6.6,38,0,0,0,0,255,2
960,3,40,1,0,0,0,255,1
961,9,43,1,1,1,1,248,1
962,6.5,38,1,0,1,0,255,2
963,6.7,38,1,0,1,0,255,0
964,3,40,1,1,1,1,255,1
965,6.6,43,1,0,1,1,250,0
966,8.6,55,0,1,1,1,255,1
967,6.5,40,1,0,0,0,250,2
968,8.1,66,1,0,1,1,255,1
969,6.7,45,1,1,0,0,247,2
970,6.7,38,1,0,1,0,255,0
971,3,40,1,1,1,1,255,1
972,6.8,43,1,0,1,0,250,0
973,8.6,55,0,1,1,1,255,1
974,6.8,55,0,0,0,1,255,1
975,6.8,45,0,1,1,1,255,0
976,6.5,38,1,0,0,0,255,2
977,4.7,38,1,0,1,0,255,1
978,3,40,1,1,1,1,255,1
979,9,43,1,0,1,1,250,1
980,6.8,40,1,0,1,0,245,2
981,6.6,45,0,1,1,1,250,0
982,6.5,36,0,0,1,0,255,2
983,4.5,38,0,1,1,1,255,1
984,6.8,45,1,1,1,1,245,0
985,6.5,45,1,0,0,0,246,2
986,6.8,36,0,1,1,0,253,0
987,8.5,70,0,0,0,0,246,1
988,6.8,34,0,0,0,1,240,2
989,6.5,37,0,0,0,0,245,2
990,6.6,37,1,0,1,0,255,0
991,6.8,45,0,1,0,0,240,2
992,7.4,65,0,0,0,0,255,1
993,6.8,41,0,0,1,0,255,2
994,6.5,38,1,1,1,1,255,0
995,6.6,38,0,0,0,0,255,2
996,6.7,38,1,0,1,0,255,0
997,3,40,1,1,1,1,255,1
998,6.6,43,0,0,0,1,250,2
999,8.6,55,0,1,1,1,255,1
1000,6.8,45,0,0,0,1,255,2
1001,6.8,45,0,1,1,1,255,0
1002,6.5,38,1,0,0,0,255,2
1003,4.7,38,1,0,1,0,255,1
1004,3,40,1,1,1,1,255,1
1005,9,43,1,0,1,1,250,1
1006,6.8,40,1,0,1,0,245,2
1007,6.5,37,0,0,0,0,255,2
1008,3,40,1,1,1,1,255,1
1009,9,43,1,0,1,1,250,1
1010,6.8,40,1,0,1,0,245,2
1011,6.6,45,0,1,1,1,250,0
1012,6.5,36,0,0,1,0,255,2
1013,6.8,45,0,1,1,1,255,0
1014,6.5,38,1,0,0,0,255,2
1015,4.7,38,1,0,1,0,255,1
1016,3,40,1,1,1,1,255,1
1017,9,43,1,0,1,1,250,1
1018,6.8,40,1,0,1,0,245,2
1019,6.6,45,0,1,1,1,250,0
1020,6.5,36,0,0,1,0,255,2
1021,4.5,38,0,1,1,1,255,1
1022,6.8,45,1,1,1,1,245,0
1023,6.5,35,1,0,1,0,246,2
1024,6.8,36,0,1,1,0,253,0
1025,8.5,70,0,0,0,0,246,1
1026,6.8,34,0,0,0,1,240,2
1027,6.5,37,0,1,1,1,245,1
1028,6.6,37,1,0,1,0,255,0
1029,6.8,45,0,1,0,0,240,2
1030,7.4,65,0,0,0,0,255,1
1031,6.8,41,0,0,1,0,255,2
1032,6.5,38,1,1,1,1,255,0
1033,6.6,38,0,0,0,0,255,2
1034,3,40,1,0,0,0,255,1
1035,9,43,1,1,1,1,248,1
1036,6.8,40,1,1,1,1,255,0
1037,6.6,50,0,0,0,1,250,1
1038,6.5,36,0,0,0,0,247,2
1039,6.6,50,0,0,0,0,255,1
1040,6.8,45,1,1,1,0,245,0
1041,6.6,40,1,0,0,0,255,2
1042,9,43,1,1,1,1,248,1
1043,6.8,40,1,1,1,1,255,0
1044,6.6,50,0,0,0,1,250,1
1045,6.5,36,0,0,0,0,247,2
1046,6.6,38,0,0,0,0,255,2
1047,6.8,45,1,1,1,0,245,0
1048,9.5,34,1,1,0,1,255,1
1049,6.5,37,0,0,0,0,255,2
1050,6.6,37,1,1,1,1,255,0
1051,5.5,45,1,0,1,1,250,1
1052,6.5,40,1,0,0,0,250,2
1053,8.1,66,1,0,1,1,255,1
1054,6.7,45,1,1,0,0,247,2
1055,6.7,38,1,0,1,0,255,0
1056,3,40,1,1,1,1,255,1
1057,6.8,43,1,0,1,0,250,0
1058,8.6,55,0,1,1,1,255,1
